,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
436,Coracao de Jesus,BR,75.03,-16.69,-44.37,78,24,4.03
437,Hays,US,52.93,38.88,-99.33,25,1,21.92
438,Matara,LK,75.43,5.95,80.54,100,0,3.69
439,La Rioja,ES,42.8,42.25,-2.5,87,0,3.36
440,Trofors,NO,33.8,65.53,13.41,69,64,10.29
441,Molteno,ZA,41.28,-31.4,26.36,55,0,4.47
442,Bilma,NE,61.98,18.69,12.92,32,0,5.7
443,Iwanai,JP,33.09,42.97,140.51,100,80,18.9
444,Tambura,SS,71.34,5.6,27.47,90,12,4.7
445,Buraydah,SA,68,26.33,43.98,37,20,4.7
446,Taree,AU,62.6,-31.9,152.47,93,40,6.93
447,Tjome,NO,33.89,59.11,10.39,99,8,8.05
448,Arlit,NE,72.28,18.74,7.39,37,8,2.68
449,Pokhara,NP,42.54,28.23,83.98,82,0,1.9
450,Petropavlovsk-Kamchatskiy,RU,37.4,53.05,158.65,74,75,15.66
451,Lamar,US,51.8,38.09,-102.62,20,1,9.17
452,Kenai,US,12.2,60.55,-151.26,92,1,7.61
453,Thohoyandou,ZA,64.81,-22.95,30.48,70,0,4.81
454,Durres,AL,51.8,41.32,19.44,87,75,1.12
455,Joshimath,IN,13.38,30.57,79.57,90,88,0.67
456,Weligama,LK,75.43,5.97,80.42,100,0,3.69
457,Aklavik,CA,2.01,68.22,-135.01,84,75,8.05
458,Migori,KE,69.4,-1.06,34.47,82,68,9.62
459,Zapolyarnyy,RU,15.8,69.42,30.81,100,90,5.82
460,Mnogovershinnyy,RU,13.56,53.94,139.92,74,68,8.72
461,Turka,UA,31.47,49.15,23.03,96,76,2.57
462,Whittlesea,ZA,42.72,-32.18,26.82,91,0,2.46
463,Dire,ML,76.24,12.28,-10.97,32,56,5.37
464,Batagay,RU,-20.29,67.63,134.63,57,64,4.25
465,Yerbogachen,RU,-33.61,61.28,108.01,59,0,2.68
466,Osecina,RS,38.21,44.37,19.6,100,90,3.36
467,Marsa Matruh,EG,57.2,31.35,27.25,82,0,6.93
468,Thurso,GB,41.95,58.59,-3.53,75,20,18.34
469,Gamba,GA,74.22,-2.65,10,94,76,3.58
470,Berdigestyakh,RU,-16.78,62.1,126.7,72,44,1.68
471,Channel-Port aux Basques,CA,42.72,47.57,-59.14,100,64,28.74
472,Olinda,BR,78.8,-8.01,-34.86,74,40,6.93
473,Havelock,US,65.35,34.88,-76.9,77,75,9.17
474,Taltal,CL,64.99,-25.4,-70.48,65,0,3.47
475,Nongstoin,IN,60.58,25.52,91.27,95,36,0.22
476,Werda,BW,58.24,-25.27,23.28,30,0,6.38
477,Tzaneen,ZA,54.46,-23.83,30.16,81,8,2.13
478,Pemangkat,ID,76.69,1.17,108.97,98,68,1.68
479,Kungsbacka,SE,41,57.49,12.08,80,75,9.17
480,Aksarka,RU,16.17,66.56,67.8,88,80,3.58
481,Srednekolymsk,RU,-2.06,67.45,153.68,71,80,8.16
482,Bobo-Dioulasso,BF,80.6,11.18,-4.3,36,0,4.7
483,Banamba,ML,73.99,13.55,-7.45,29,92,6.6
484,Vigrestad,NO,42.8,58.57,5.7,81,75,23.04
485,Trinidad,CU,80.6,21.8,-79.98,69,20,10.29
486,Emba,CY,62.06,34.81,32.42,87,0,8.05
487,Bahia de Caraquez,EC,80.6,-0.6,-80.42,69,40,13.87
488,Los Llanos de Aridane,ES,69.8,28.66,-17.92,73,24,1.12
489,Coihaique,CL,50.05,-45.58,-72.07,41,0,9.51
490,Ambilobe,MG,69.49,-13.2,49.05,88,0,4.36
491,Okhotsk,RU,-9.85,59.38,143.3,100,8,9.51
492,Andenes,NO,32,69.31,16.12,100,0,11.41
493,Tashtyp,RU,-2.74,52.79,89.9,46,20,2.35
494,Kattivakkam,IN,80.6,13.22,80.32,94,20,3.47
495,Aberdeen,GB,39.2,57.14,-2.1,80,8,18.34
496,Dabhol,IN,79.26,17.6,73.17,82,88,10.63
497,Inuvik,CA,0.63,68.35,-133.72,84,75,8.05
498,Richards Bay,ZA,67.92,-28.78,32.04,74,0,7.61
499,Erattupetta,IN,78.8,9.7,76.78,83,40,1.9
500,Magan,RU,-40.01,62.11,129.53,65,64,2.24
501,Jacareacanga,BR,82.32,-6.22,-57.75,88,36,0.56
502,Sloboda,RU,29.58,51.14,40.3,91,56,8.39
503,Port Augusta,AU,66.2,-32.5,137.77,77,0,5.82
504,Havre-Saint-Pierre,CA,32,50.23,-63.6,84,75,5.82
505,Mackay,AU,75.2,-21.15,149.2,78,90,3.36
506,Broken Hill,AU,62.88,-31.95,141.43,83,0,11.63
507,Pangkalanbuun,ID,72.19,-2.68,111.62,97,32,3.13
508,Senaki,GE,59,42.27,42.07,51,0,20.8
509,Grande Riviere Sud Est,MU,75.2,-20.29,57.78,88,40,5.82
510,Sechura,PE,72.69,-5.56,-80.82,73,0,14.88
511,Luba,GQ,73.4,3.46,8.55,94,20,4.7
512,Yumen,CN,20.8,40.28,97.2,82,0,9.28
513,Kilrush,IE,46.4,52.64,-9.48,93,75,3.36
514,Porto Velho,BR,86.01,-8.76,-63.9,74,0,3.02
515,Amstetten,AT,41,48.12,14.87,95,75,14.99
516,Aleksandrov Gay,RU,29.22,50.15,48.57,88,48,8.39
517,Banda Aceh,ID,72.96,5.56,95.32,100,24,2.68
518,Ahipara,NZ,59.68,-35.17,173.17,90,88,19.35
519,Santa Cruz,PH,78.8,14.28,121.42,100,20,4.59
520,Lieksa,FI,29.49,63.32,30.02,89,80,2.57
521,Chesma,RU,28.36,53.81,60.65,85,48,11.97
522,Sungaipenuh,ID,65.71,-2.08,101.38,98,88,1.12
523,Reconquista,AR,70.26,-29.15,-59.65,46,0,15.43
524,High Level,CA,8.6,58.52,-117.14,84,75,8.05
525,Dalton,ZA,55.99,-29.34,30.63,72,12,2.13
526,Ulladulla,AU,64.4,-35.35,150.47,72,32,6.93
527,Severnoye,RU,28.68,56.35,78.36,94,92,9.62
528,Aitape,PG,81.55,-3.14,142.35,98,48,7.49
529,Medea,DZ,50,36.26,2.75,93,20,2.35
530,Blackfoot,US,38.23,43.19,-112.34,38,20,4.7
531,Tokur,RU,-23.26,53.13,132.9,63,36,2.35
532,Thinadhoo,MV,83.35,0.53,72.93,100,92,7.83
533,Constitucion,CL,61.17,-35.33,-72.42,76,0,18.34
534,Gravdal,NO,40.06,68.12,13.5,100,8,16.44
535,Todos Santos,MX,90.37,23.45,-110.22,22,5,11.41
536,Zeya,RU,-23.62,53.75,127.27,99,0,2.57
537,Sarany,RU,27.73,58.5,58.88,91,88,11.63
538,Gryazi,RU,31.96,52.5,39.94,96,88,9.4
539,Radebeul,DE,37.4,51.11,13.66,86,75,10.29
540,Gayny,RU,29.76,60.31,54.32,86,36,10.4
541,Miguel Hidalgo,MX,74.25,19.42,-99.2,11,5,8.05
542,Soe,ID,71.29,-9.86,124.28,99,92,0.11
543,Solnechnyy,RU,-10.66,50.72,136.63,71,64,2.57
544,Develi,TR,37.4,38.39,35.49,59,56,1.12
545,Beohari,IN,66.25,24.05,81.38,96,56,4.92
546,Haverfordwest,GB,46.4,51.8,-4.97,93,92,1.12
547,Tadine,NC,70.26,-21.55,167.88,100,92,12.97
548,High Prairie,CA,31.06,55.43,-116.49,74,92,5.59
549,Denpasar,ID,77,-8.65,115.22,94,40,1.12
550,Ixtapa,MX,86,20.7,-105.2,70,5,10.29
551,Khandbari,NP,31.47,27.37,87.2,63,0,1.57
552,Licata,IT,53.6,37.11,13.95,93,20,3.36
553,Zhigansk,RU,-16.78,66.77,123.37,74,44,6.71
554,Starosubkhangulovo,RU,27.96,53.1,57.44,87,88,11.3
555,Liverpool,GB,45.82,53.41,-2.98,75,75,13.87
556,Gazanjyk,TM,43.62,39.24,55.52,94,12,6.6
557,Challakere,IN,69.27,14.32,76.65,95,64,3.24
558,Carman,CA,17.6,49.5,-98,57,1,17.22
559,Gweta,BW,64.41,-20.18,25.23,26,0,6.93
560,Oussouye,SN,76.12,12.48,-16.55,83,0,2.24
561,Siniscola,IT,48.2,40.57,9.69,87,20,1.12
562,Prince George,CA,35.6,53.92,-122.75,69,90,14.99
563,Palana,RU,31.47,59.12,159.97,96,80,16.22
564,Iquique,CL,65.58,-20.22,-70.14,90,0,6.6
565,Mwinilunga,ZM,64.68,-11.74,24.43,91,92,2.24
566,Rancharia,BR,73.4,-22.23,-50.89,69,0,2.24
567,Pangody,RU,1.05,65.85,74.49,82,64,6.93
568,Santa Isabel do Rio Negro,BR,85.06,-0.41,-65.02,76,24,4.14
569,Tawang,IN,35.65,27.58,91.87,66,0,1.34
570,Ikalamavony,MG,60.58,-21.15,46.58,98,76,3.13
571,Nhulunbuy,AU,78.8,-12.23,136.77,94,12,6.38
572,Letlhakane,BW,64.68,-21.42,25.58,53,0,4.92
573,Santa Cruz del Sur,CU,81.55,20.71,-78,73,92,13.65
574,Ca Mau,VN,78.54,9.18,105.15,98,48,5.7
575,Saint Anthony,US,32.59,45.02,-93.22,55,40,17.22
576,Kotelnich,RU,32.14,58.31,48.35,87,88,8.84
577,Grand Gaube,MU,75.2,-20.01,57.66,88,40,5.82
578,Pitimbu,BR,78.8,-7.47,-34.81,78,40,10.29
579,Samarinda,ID,77.41,-0.5,117.15,93,80,1.68
580,Ngunguru,NZ,59.73,-35.62,174.5,100,88,28.86
581,Half Moon Bay,US,60.44,37.46,-122.43,39,1,8.05
582,Shu,KZ,29.71,43.6,73.76,82,92,13.31
583,New Iberia,US,77.38,30,-91.82,88,1,14.99
584,Shunyi,CN,17.6,40.12,116.65,78,0,4.47
585,Carutapera,BR,82.36,-1.2,-46.02,73,64,11.63
586,Yuzhno-Sukhokumsk,RU,47.04,44.66,45.64,98,64,5.59
587,Nereju,RO,39.93,45.72,26.72,96,76,2.57
588,Sorong,ID,84.39,-0.88,131.25,100,92,7.61
589,Cabedelo,BR,78.8,-6.98,-34.83,78,40,10.29
590,Champerico,GT,87.8,14.3,-91.92,52,40,6.93
591,Biltine,TD,73.45,14.53,20.92,26,0,8.72
